Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Afghanistan,2017,1257.935,1379.055,102.404,44781.126,46432.834,0.061,17.206,18.481,26.058,115.974,115.356,4.446,2.6,-6.21,17.643,29.7,374.888,384.214,-9.326,-8.371,110.805,1285.46,9.007,,,,,
Afghanistan,2018,1271.405,1423.509,104.525,42589.119,45047.779,0.06,17.15,18.039,30.197,112.319,113.917,-5.115,-8.076,28.366,2.861,31.6,436.443,413.112,23.331,24.18,105.426,1327.69,14.395,,,,,
Afghanistan,2019,1323.814,1570.361,111.341,43430.409,48768.983,0.06,17.946,18.192,29.897,116.566,119.073,-7.839,-6.651,-4.161,1.593,32.2,422.864,439.472,-16.608,-15.99,96.222,1469.596,13.914,,,,,
Afghanistan,2020,1286.518,1648.432,120.05,41455.833,50042.561,0.061,19.101,16.462,27.619,126.278,127.087,-3.217,-2.153,0.534,-16.606,32.941,423.258,460.203,-36.946,-36.337,121.858,1547.289,13.404,,,,,
Afghanistan,2021,1000.858,1314.892,120.68,32120.309,39019.627,0.045,18.375,0,0,131.987,150.142,0,0,0,0,33.698,232.785,237.167,-4.382,-3.945,0,1232.858,0,,,,,
Afghanistan,2022,0,0,0,0,0,0,0,0,0,157.959,149.97,0,0,0,0,34.263,0,0,0,0,0,0,0,,,,,
Afghanistan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Albania,2017,792.745,1601.307,196.547,286582.128,555205.881,0.031,41.231,24.672,17.085,105.282,105.819,6.032,4.39,10.113,-1.377,2.884,458.153,481.355,-23.201,10.761,1186.728,1550.645,-8.47,13.7,1081.259,,,
Albania,2018,824.672,1691.948,199.442,298249.147,586924.243,0.031,40.856,24.118,17.109,107.422,107.681,5.766,4.234,3.523,14.145,2.883,476.846,504.987,-28.141,10.604,1206.542,1636.73,-7.778,12.3,1067.752,,,
Albania,2019,839.874,1748.933,201.949,304668.292,607075.887,0.031,40.641,23.032,14.742,108.291,108.25,4.719,3.459,1.651,-8.415,2.881,487.558,521.003,-33.445,3.775,1207.164,1691.903,-8.737,11.47,1084.029,,,
Albania,2020,806.819,1703.404,203.356,294926.58,591911.994,0.031,40.397,22.677,13.991,110.234,109.276,-19.547,-5.092,-27.44,-1.946,2.878,451.759,568.832,-117.074,-80.592,1324.068,1647.431,-9.974,11.675,1218.734,,,
Albania,2021,891.2,1920.565,210.381,321744.226,668503.158,0.031,39.996,25.469,16.661,112.874,115.929,23.655,18.143,41.449,18.816,2.873,538.478,628.297,-89.819,-52.067,1471.389,1856.172,-9.056,11.4,1279.173,,,
Albania,2022,929.876,2209.488,231.164,338101.82,770829.46,0.032,41.07,24.873,17.897,125.012,127.988,11.68,4.052,25.247,20.158,2.866,599.577,681.46,-81.884,-40.407,1467.159,2138.339,-7.104,11.1,1304.377,,,
Albania,2023,962.003,2391.417,241.284,351272.077,836622.397,0.032,41.347,25.072,19.093,128.714,128.951,11.451,3.107,7.493,-15.656,2.858,686.724,747.337,-60.612,3.063,1518.392,2312.457,-7.333,11,1276.193,,,
Algeria,2017,7379.681,19221.266,251.762,188306.837,460709.614,0.39,38.856,48.049,34.717,199.561,202.553,-0.82,-1.975,0.042,2.628,41.721,6080.443,7679.287,-1598.844,-1428.858,5087.631,18575.7,-35.663,11.709,4030.307,,,
Algeria,2018,7468.021,21063.805,273.122,186730.841,494710.99,0.381,41.163,47.415,37.76,206.523,205.662,-1.603,-2.945,-7.913,-6.888,42.578,6860.357,8263.166,-1402.809,-1300.515,7862.629,20393.5,-26.539,11.731,5271.625,,,
Algeria,2019,7542.489,21181.239,271.832,184923.822,487777.234,0.375,40.246,44.694,34.843,208.152,210.334,-9.688,-7.755,-2.954,-4.463,43.424,6633.778,8607.994,-1974.215,-1859.729,9485.648,20500.2,-26.762,11.383,6287.911,,,
Algeria,2020,7151.773,19112.253,258.17,173783.843,435845.3,0.367,37.731,43.819,30.993,213.595,218.726,-18.987,-18.169,-4.154,-9.322,43.851,5671.471,7881.895,-2210.425,-2037.808,9661.718,18476.9,-31.507,0,8142.343,,,
Algeria,2021,7403.607,22771.529,298.361,176766.999,510838.876,0.357,41.731,37.928,35.162,233.666,241.955,-5.749,-4.124,15.855,23.775,44.577,6627.419,8223.455,-1596.036,-1451.442,13933.463,22079.3,-7.278,0,11473.891,,,
Algeria,2022,7640.213,28468.131,362.561,179547.198,628562.459,0.357,47.39,33.709,43.482,256.692,264.465,-4.909,-6.356,28.717,32.281,45.291,9501.513,10295.626,-794.113,-402.57,15456.467,27688.8,28.837,0,11448.007,,,
Algeria,2023,7933.762,31274.976,383.634,183665.784,680284.368,0.36,48.366,36.501,39.416,278.537,283.613,14.345,14.345,-11.606,-17.755,45.973,10271.579,12899.327,-2627.747,-2241.306,16823.353,30421.879,9.448,0,14930.656,,,
Andorra,2017,2.927,9.864,102.912,90855.232,131877.599,0.003,0.63,,,99.363,99.931,,,,,0.075,39.204,35.778,3.427,,38.859,2.656,0,1.725,,0.043,,
Andorra,2018,4.211,10.327,103.954,90623.018,135564.938,0.003,0.622,,,98.737,98.552,,,,,0.076,39.653,36.909,2.744,,37.334,2.725,0,1.525,,0.045,,
Andorra,2019,4.69,10.526,105.383,90820.973,135754.933,0.003,0.619,,,98.789,99.928,,,,,0.078,39.225,36.854,2.371,,36.362,2.818,18.578,1.775,,0.045,,
Andorra,2020,-8.809,9.513,106.557,80175.586,121931.14,0.003,0.618,,,98.442,97.894,,,,,0.078,42.315,43.408,-1.093,,47.526,2.531,15.056,2.85,,0.045,,
Andorra,2021,10.859,10.772,109.283,85160.343,135433.524,0.003,0.606,,,101.676,104.951,,,,,0.08,38.942,40.142,-1.199,,49.981,2.811,16.609,2.875,,0.047,,
Andorra,2022,11.61,11.937,113.887,90332.26,146307.65,0.003,0.591,,,112.405,116.091,,,,,0.082,41.29,36.258,5.032,,40.624,3.188,17.616,2.05,,0.049,,
Andorra,2023,4.906,12.795,118.767,89864.442,152870.933,0.003,0.594,,,116.994,118.133,,,,,0.084,40.545,37.151,3.394,,39.022,3.392,18.516,1.9,,0.05,,
Angola,2017,1586.427,20585.176,1276.039,59730.692,681433.659,0.178,92.952,24.151,23.517,281.639,298.695,5.73,6.478,-1.252,-1.509,30.209,3563.786,4903.796,-1340.009,-602.905,14103.98,20245.349,-1.152,,,,-1068.132,
Angola,2018,1564.377,25949.17,1636.828,56937.32,829748.583,0.169,116.434,21.355,28.659,320.847,344.798,-11.205,5.865,-10.725,-9.585,31.274,5882.821,5294.444,588.377,1807.023,23925.485,25627.711,14.707,,,,898.497,
Angola,2019,1553.997,31140.445,1983.243,54650.119,962503.59,0.164,138.59,20.967,27.045,369.743,398.192,-11.388,-8.01,-5.927,-5.705,32.354,6551.339,6311.347,239.993,1966.227,35126.223,30833.449,11.216,,,,671.002,
Angola,2020,1461.403,33310.801,2252.22,49910.592,996479.488,0.159,155.359,25.416,26.942,453.504,502.118,-32.735,-33.099,-7.342,-6.428,33.428,7074.107,7714.137,-640.029,1666.701,46031.888,33040.986,2.398,,,,533.999,
Angola,2021,1485.831,47570.163,3183.981,48935.008,1378694.484,0.152,210.19,24.908,36.128,568.099,633.073,8.503,7.778,-8.558,-8.521,34.504,11040.623,9226.135,1814.489,4264.155,41107.471,47270.408,19.619,,,,1814.274,
Angola,2022,1532.896,57148.319,3711.317,48720.202,1600281.952,0.151,228.963,24.134,33.714,679.539,703.797,42.085,37.234,3.27,3.388,35.711,13206.215,12822.136,384.078,2665.262,37910.855,56777.561,21.344,,,,198.209,
Angola,2023,1550.304,64502.805,4141.167,47894.784,1753615.705,0.149,246.42,24.449,27.522,757.868,825.669,-13.879,-17.463,-2.961,-3.104,36.783,14238.34,15486.764,-1248.423,2173.298,54529.974,64148.686,5.955,,,,-826.698,
Antigua and Barbuda,2017,6.418,7.325,121.045,55221.614,78272.249,0.002,2.094,23.474,15.436,100.854,100.764,1.097,7.192,-6.988,-28.597,0.094,21.559,24.512,-2.954,-0.143,95.847,3.964,-8.156,,,,,
Antigua and Barbuda,2018,10.322,8.009,123.871,58100.3,84289.927,0.002,2.092,37.418,22.858,100.825,101.859,9.643,18.464,2.876,10.081,0.095,20.689,23.267,-2.578,0.043,91.567,4.333,-14.794,,,,,
Antigua and Barbuda,2019,7.994,8.399,123.939,59719.911,87076.341,0.002,2.056,34.58,27.425,102.471,101.499,4.823,1.255,13.703,21.004,0.096,19.62,23.814,-4.193,-1.292,85.541,4.524,-7.274,,,,,
Antigua and Barbuda,2020,-14.492,7.078,127.006,48541.451,72311.898,0.001,2.08,33.634,17.347,103.167,106.388,-34.705,-26.801,-50.353,-30.184,0.098,20.49,26.881,-6.39,-3.814,101.931,3.824,-16.518,,,,,
Antigua and Barbuda,2021,9.764,7.821,131.324,50972.806,78731.07,0.001,2.058,42.447,26.832,105.397,106.086,6.268,8.159,26.38,22.731,0.099,20.185,25.021,-4.836,-2.438,100.378,4.213,-15.859,,,,,
Antigua and Barbuda,2022,11.939,8.88,136.374,54497.518,88108.153,0.001,1.998,41.661,25.473,119.116,123.82,21.717,21.994,35.402,1.758,0.101,21.116,25.018,-3.903,-1.207,90.334,4.746,-16.473,,,,,
Antigua and Barbuda,2023,9.266,9.811,143.193,56743.488,96001.626,0.001,2.023,37.648,25.186,122.234,123.054,8.798,0.656,16.404,14.38,0.102,21.692,24.589,-2.896,-0.028,84.709,5.261,-12.705,,,,,
Argentina,2017,729.209,12343.42,1467.563,40089.184,280246.872,0.849,10.257,18.213,13.374,237.148,258.577,14.346,14.692,-0.25,-0.168,44.045,3704.543,4424.762,-720.218,-454.983,6136.326,10660.228,-35.989,8.35,,,-752.644,
Argentina,2018,704.76,16305.703,2084.433,38645.329,366465.572,0.798,14.226,16.614,11.449,318.236,392.813,-6.082,-6.795,-0.371,-0.606,44.495,4974.208,5781.936,-807.728,-332.225,12654.653,14744.811,-32.248,9.2,,,-699.594,
Argentina,2019,691.223,23288.012,3145.053,37497.731,518217.161,0.761,21.087,13.942,13.17,489.563,584.811,-20.997,-20.724,12.239,12.504,44.939,7295.119,8257.735,-962.616,-88.048,19456.874,21802.256,-4.262,9.825,,,-803.888,
Argentina,2020,614.691,28814.237,4399.908,33450.767,634841.231,0.707,29.12,16.434,17.125,661.222,759.019,-10.411,-10.257,-12.933,-12.978,45.388,9231.795,11600.581,-2368.787,-1704.136,28350.88,27481.44,3.379,11.55,,,-1538.667,
Argentina,2021,702.253,47925.422,6701.935,36669.329,1045448.317,0.737,42.449,18.208,19.572,967.37,1142.065,29.637,29.691,12.639,12.736,45.842,15540.152,17547.123,-2006.972,-1170.038,37538.038,46346.228,8.008,8.75,,,-1714.888,
Argentina,2022,730.766,84293.244,11357.852,38105.739,1820572.684,0.748,67.229,18.134,17.454,1657.003,2220.227,12.839,10.684,-5.29,-2.233,46.3,27588.98,30765.512,-3176.532,-1489.476,69895.73,82436.434,-4.969,6.825,,,-3425.649,
Argentina,2023,705.165,176722.023,24709.533,36785.244,3779066.703,0.709,141.072,15.37,14.766,3634.142,5144.637,-4.465,-11.759,-13.442,-16.358,46.763,59074.596,66047.412,-6972.815,-2827.863,156600.414,174860.675,-4.361,7.35,,,-5842.623,
Armenia,2017,3630.127,5611.697,153.605,1227821.952,1883441.039,0.029,155.971,18.422,17.161,208.711,222.398,22.43,27.975,13.409,15.666,2.979,1203.231,1474.28,-271.049,-149.137,3338.523,5564.493,-1.406,17.8,,,,
Armenia,2018,3817.109,6067.936,157.849,1296525.868,2043743.62,0.03,156.518,22.4,15.171,215.167,221.068,14.097,14.28,8.221,10.551,2.969,1363.987,1471.133,-107.146,34.18,3404.42,6017.035,-8.129,19,,,,
Armenia,2019,4110.413,6599.06,159.485,1398432.155,2227352.511,0.031,155.353,17.409,10.352,217.192,222.025,14.026,13.447,18.166,23.93,2.963,1589.414,1654.339,-64.925,95.036,3565.673,6543.322,-8.018,18.3,,,,
Armenia,2020,3802.25,6234.163,162.28,1298936.185,2105004.374,0.03,156.04,19.664,15.666,219.622,233.34,-31.139,-16.879,-35.051,-20.26,2.962,1585.901,1925.295,-339.396,-172.122,4231.613,6181.903,-4.503,18.2,,,,
Armenia,2021,4031.605,7040.574,173.45,1372490.861,2376819.19,0.03,159.611,20.691,17.207,241.326,254.979,2.511,-0.743,4.041,-4.477,2.962,1707.944,2033.004,-325.059,-141.633,4493.034,6982.963,-3.967,15.3,,,,
Armenia,2022,4545.949,8573.665,187.531,1545354.868,2894142.027,0.032,161.271,21.712,22.486,263.023,276.081,49.066,41.919,92.795,67.976,2.962,2087.395,2268.969,-181.575,19.071,4235.912,8501.436,0.925,13,,,,
Armenia,2023,4859.143,9632.249,196.805,1653885.666,3251219.552,0.033,163.243,23.211,21.853,266.668,282.644,28.342,27.412,21.934,20.596,2.963,2375.255,2635.035,-259.78,13.505,4625.685,9549.212,-1.691,13.5,,,,
Aruba,2017,5.932,12.725,106.453,85512.198,117038.061,0.003,1.351,,21.844,90.874,92.086,,,,,0.109,23.187,25.917,-2.73,1.518,80.022,5.535,0.989,8.923,,,,
Aruba,2018,7.706,13.437,110.155,87409.916,123382.275,0.003,1.365,,21.694,98.861,101.128,,,,,0.109,23.525,26.321,-2.796,1.198,77.609,5.864,-0.547,7.283,,,,
Aruba,2019,2.898,13.747,116.868,85166.381,125888.447,0.003,1.423,,23.564,102.925,103.713,,,,,0.109,24.87,25.128,-0.258,3.752,75.372,6.078,2.668,5.2,,,,
Aruba,2020,-20.029,10.43,115.849,65108.479,96052.39,0.002,1.392,,9.187,96.373,93.995,,,,,0.109,25.107,42.08,-16.973,-11.621,117.485,4.58,-12.679,8.6,,,,
Aruba,2021,32.686,13.047,110.068,83788.023,121139.255,0.003,1.266,,19.079,99.157,104.251,,,,,0.108,20.792,30.462,-9.67,-5.057,107.472,5.555,2.793,8.8,,,,
Aruba,2022,16.032,15.077,113.825,92887.607,140501.362,0.003,1.223,,26.342,109.365,112.107,,,,,0.107,22.56,23.055,-0.495,3.617,95.829,6.345,11.505,6.6,,,,
Aruba,2023,8.003,16.179,120.121,95174.233,151005.387,0.003,1.245,,26.545,112.926,113.005,,,,,0.107,23.705,22.833,0.872,4.763,88.569,6.85,9.825,8.465,,,,
Australia,2017,1964.852,4412.847,91.818,128912.721,178231.934,1.004,1.466,24.294,22.029,113.195,114.195,7.81,7.891,3.431,2.087,24.759,666.529,699.192,-32.662,-16.123,783.203,1801.91,-37.963,5.595,443.299,12.244,-29.189,-1.03
Australia,2018,2020.531,4605.44,93.874,130501.243,183146.999,0.997,1.463,24.212,21.974,115.236,115.695,4.268,3.773,5.1,4.56,25.146,710.261,735.365,-25.104,-8.231,832.772,1894.108,-33.305,5.302,480.652,12.574,-21.781,-0.663
Australia,2019,2058.967,4720.916,96.853,131091.826,184985.503,0.989,1.483,22.59,23.095,116.76,117.942,-1.06,-0.846,3.221,1.825,25.52,722.346,814.671,-92.326,-75.088,978.093,1992.284,5.602,5.175,583.512,12.859,-84.482,-1.01
Australia,2020,2017.543,4667.664,97.606,128139.214,182112.228,1.001,1.476,22.253,24.538,117.018,117.961,-12.843,-2.206,-9.651,-4.044,25.631,740.557,921.651,-181.095,-162.419,1184.091,1971.038,32.548,6.501,748.169,12.656,-170.97,-4.037
Australia,2021,2129.716,5302.298,103.014,134073.606,205741.86,0.991,1.49,23.054,26.15,122.291,125.072,5.36,9.736,-1.963,1.102,25.772,815.298,964.144,-148.846,-129.417,1279.419,2188.546,51.87,5.096,820.398,13.04,-145.113,-0.533
Australia,2022,2206.634,5781.751,111.209,136394.25,220103.228,0.994,1.504,23.347,24.662,133.964,138.725,12.927,7.414,3.381,0.823,26.268,911.556,971.112,-59.556,-36.215,1292.686,2449.875,19.442,3.7,763.41,13.607,-63.346,1.216
Australia,2023,2243.87,5942.056,113.068,137172.232,223523.535,0.984,1.475,23.836,24.394,140.488,141.713,4.024,0.984,8.28,2.686,26.584,963.823,1001.533,-37.71,-4.549,1368.209,2535.081,10.993,3.728,770.955,13.903,-41.993,0.995
Austria,2017,361.308,1265.936,102.872,95126.749,143617.293,0.391,0.77,24.838,26.213,127.654,128.963,5.289,2.821,4.898,4.903,8.815,227.56,231.39,-3.83,3.022,368.934,369.362,7.106,5.908,262.468,4.26,-4.08,0.203
Austria,2018,370.182,1343.368,104.763,96666.83,151201.871,0.387,0.766,25.726,26.631,130.21,130.519,5.348,4.16,5.198,4.792,8.885,237.434,236.609,0.826,6.788,359.461,385.274,5.022,5.225,246.217,4.319,-1.48,0.978
Austria,2019,374.854,1361.523,106.384,98419.372,153691.59,0.383,0.764,25.349,27.733,131.486,132.984,2.087,0.27,3.985,3.467,8.859,244.802,241.981,2.822,7.999,351.175,397.17,12.987,4.808,238.63,4.355,0.952,0.774
Austria,2020,342.788,1308.407,109.106,91630.937,146995.478,0.369,0.774,25.647,28.624,133.184,133.497,-9.229,-6.241,-10.652,-7.343,8.901,234.725,273.15,-38.425,-33.888,398.906,381.043,15.925,5.475,285.402,4.297,-33.941,-1.814
Austria,2021,369.714,1424.896,111.226,94963.571,158674.345,0.363,0.755,27.78,28.134,138.186,141.294,13.712,4.699,9.593,12.947,8.98,254.454,283.718,-29.265,-25.576,416.667,406.149,2.057,6.183,304.621,4.306,-24.498,-1.851
Austria,2022,387.711,1521.637,116.738,99072.669,168604.336,0.368,0.74,26.973,27.661,155.701,162.537,6.428,21.185,9.577,8.19,9.025,271.275,288.776,-17.501,-14.171,429.252,446.945,3.929,4.767,319.226,4.442,-19.635,0.792
Austria,2023,383.319,1636.12,126.161,98672.935,180387.575,0.358,0.772,24.496,24.57,166.463,166.111,3.47,-0.193,3.604,-1.108,9.07,287.848,301.742,-13.894,-9.835,436.214,483.48,0.465,5.107,327.708,4.436,-12.273,-0.56
Azerbaijan,2017,29.364,250.866,240.802,17162.342,25572.455,0.114,0.505,24.379,27.348,257.897,258.138,-2.219,-5.176,-6.416,-4.898,9.81,58.305,60.591,-2.286,-1.549,38.341,70.338,5.756,4.961,,,,
Azerbaijan,2018,31.109,271.799,270.223,17259.694,27459.673,0.111,0.554,20.129,30.56,252.762,255.519,-2.824,13.777,1.725,8.684,9.898,69.537,59.76,9.777,10.996,33.651,80.092,18.895,4.944,,,,
Azerbaijan,2019,32.854,280.907,269.624,17539.913,28142.808,0.111,0.543,20.308,27.373,259.595,262.362,-0.03,3.422,2.407,5.53,9.982,75.441,59.153,16.289,17.549,32.116,81.896,13.426,4.848,,,,
Azerbaijan,2020,24.9,261.66,249.419,16660.541,25991.63,0.11,0.496,23.666,22.024,266.863,269.415,-9.256,-8.043,-10.41,-11.809,10.067,58.178,69.288,-11.111,-9.673,36.806,72.578,-0.761,7.157,,,,
Azerbaijan,2021,36.349,309.584,303.266,17505.846,30594.087,0.109,0.577,17.079,31.527,288.364,310.794,-15.339,-16.747,4.285,7.232,10.119,70.285,62.371,7.914,9.215,50.907,93.203,23.416,5.952,,,,
Azerbaijan,2022,36.717,393.332,416.388,18239.773,38727.45,0.11,0.74,15.328,41.505,334.599,356.057,15.084,14.59,36.519,38.671,10.156,75.24,61.281,13.959,15.063,40.553,133.826,53.302,5.932,,,,
Azerbaijan,2023,35.462,401.105,399.319,18476.677,39024.534,0.11,0.685,21.612,34.057,364.197,369.527,-20.761,-10.722,-27.961,-25.94,10.278,74.726,72.466,2.26,3.273,42.127,131.567,28.979,5.865,,,,
Bahrain,2017,16.745,120.094,107.108,55781.818,80003.084,0.058,0.187,32.943,28.856,98.267,97.667,7.602,12.436,3.69,12.042,1.501,20.572,36.473,-15.901,-11.854,99.884,13.338,-5.538,4.1,,,,
Bahrain,2018,14.826,126.552,111.779,56884.163,84194.332,0.057,0.191,35.264,28.824,100.998,100.213,5.724,10.938,3.262,7.681,1.503,24.859,38.339,-13.48,-8.536,108.054,14.214,-8.875,4.3,,,,
Bahrain,2019,15.158,130.705,111.873,58874.169,88090.563,0.057,0.187,32.638,30.583,100.91,100.591,-5.568,-8.464,0.381,2.15,1.484,27.164,37.431,-10.267,-5.215,116.406,14.534,-2.849,4.7,,,,
Bahrain,2020,7.743,122.521,105.085,56580.003,83222.677,0.056,0.174,35.095,25.722,95.255,96.19,-0.702,-11.667,-2.548,-11.423,1.472,20.219,40.464,-20.244,-14.494,147.053,13.018,-12.617,5.9,,,,
Bahrain,2021,15.3,134.332,116.238,56805.015,89295.439,0.054,0.184,28.346,34.969,96.372,96.991,15.185,19.736,29.473,47.555,1.504,23.928,36.538,-12.611,-7.187,145.911,14.772,9.226,5.9,,,,
Bahrain,2022,18.221,151.167,125.187,58127,98029.428,0.055,0.185,31.221,46.629,104.143,104.493,-9.295,-4.933,-16.541,-10.967,1.542,26.953,34.068,-7.116,-1.963,137.204,16.688,22.247,5.4,,,,
Bahrain,2023,16.44,157.885,123.52,58261.652,99881.725,0.055,0.176,33.056,39.694,102.513,102.909,1.133,8.566,2.765,5.392,1.581,27.572,33.437,-5.866,-0.583,141.667,16.918,9.625,0,,,,
Bangladesh,2017,22132.82,24371.368,105.048,143800.885,152635.291,0.681,29.738,30.947,30.708,223.097,218.892,6.609,6.361,1.74,1.64,159.671,1883.356,2856.065,-972.709,-614.263,6607.492,23243.07,-1.784,,,,,
Bangladesh,2018,23753.059,27633.506,111.146,152729.307,171257.963,0.708,30.396,31.823,30.61,236.026,230.292,19.506,19.338,6.324,4.559,161.356,2353.034,3430.87,-1077.836,-653.445,7829.298,26392.48,-12.544,,,,,
Bangladesh,2019,25625.231,30853.913,115.212,162932.538,189234.223,0.728,30.969,32.214,31.138,248.323,242.67,4.753,2.472,13.965,8.606,163.046,2411.777,4013.382,-1601.605,-1099.831,9462.171,29514.288,-5.768,,,,,
Bangladesh,2020,26504.097,33132.179,119.637,166970.979,201179.81,0.789,31.799,31.308,31.418,262.211,257.451,-2.724,-2.479,-14.234,-16.252,164.689,2693.149,4232.638,-1539.489,-954.49,10975.605,31704.694,-6.889,,,,,
Bangladesh,2021,28346.383,36896.326,124.568,176453.921,221391.406,0.795,31.836,31.019,30.794,276.38,271.258,4.993,5.977,7.076,7.744,166.657,3314.279,4590.647,-1276.368,-568.509,12608.169,35301.848,-5.674,,,,,
Bangladesh,2022,30358.596,41520.618,130.857,186857.398,246384.546,0.82,31.308,32.047,29.35,293.627,293.267,19.679,20.1,21.213,21.216,168.52,3545.367,5185.042,-1639.675,-859.917,15075.814,39717.164,-22.689,,,,,
Bangladesh,2023,32186.334,46315.952,137.95,196071.29,272001.064,0.845,31.98,31.254,30.215,322.412,323.291,-12.922,-13.869,3.032,6.802,170.279,3677.235,5663.539,-1986.304,-1058.699,17515.523,44392.733,-4.081,,,,,
Barbados,2017,9.783,19.468,107.068,48397.197,68134.6,0.004,2.203,15.62,11.835,181.993,191.567,-5.939,-6.816,0.236,-4.33,0.286,31.447,36.157,-4.709,3.663,173.941,10.021,-3.975,9.95,172.659,,-4.936,
Barbados,2018,8.668,19.896,110.198,47993.283,69459.275,0.004,2.214,14.262,10.311,54.449,52.359,-6.866,-7.827,-1.691,-6.276,0.286,32.035,32.362,-0.328,3.791,138.586,10.308,-4.153,10.05,137.336,,-0.343,
Barbados,2019,8.68,20.635,115.709,47621.67,71856.683,0.003,2.284,14.494,11.737,103.319,104.933,5.179,2.513,6.833,-0.267,0.287,32.78,28.787,3.994,6.587,131.629,10.654,-2.904,10.088,130.416,,4.108,
Barbados,2020,-5.333,18.111,117.119,41178.369,62903.708,0.003,2.282,18.178,12.237,102.053,102.693,-11.043,2.951,-36.318,-16.963,0.288,32.991,38.237,-5.246,-1.062,162.029,8.921,-6.219,21.121,160.602,,-4.495,
Barbados,2021,7.774,18.802,121.661,40996.545,65141.499,0.003,2.269,18.263,7.066,104.647,106.651,-7.681,-10.625,-2.935,-4.433,0.289,31.866,37.184,-5.319,-0.996,148.838,10.166,-11.738,14.358,147.572,,-4.894,
Barbados,2022,18.543,22.073,130.052,44900.3,76282.808,0.003,2.266,18.294,7.228,113.347,116.242,7.583,9.92,21.06,14.878,0.289,33.21,35.506,-2.296,2.852,137.146,11.943,-11.695,10.184,136.051,,-2.244,
Barbados,2023,13.637,24.097,136.164,46802.082,83065.608,0.003,2.289,17.28,8.81,119.184,121.078,11.081,9.555,16.176,8.477,0.29,32.774,34.68,-1.904,3.946,129.667,12.754,-8.997,10.124,128.634,,-1.894,
Belarus,2017,121.139,334.101,89.165,30858.321,35279.975,0.142,0.609,28.03,26.29,749.894,761.292,12.011,13.341,8.953,8.401,9.47,79.636,80.328,-0.693,3.366,109.376,105.748,-2.692,5.684,,,0.881,
Belarus,2018,125.458,365.715,100,31900.752,38708.212,0.141,0.667,28.079,28.117,784.936,805.04,5.284,5,5.917,5.3,9.448,88.148,84.136,4.013,8.383,105.635,122.32,0.061,4.825,,,3.431,
Belarus,2019,125.535,388.519,108.577,32427.393,41204.772,0.139,0.711,29.15,27.216,829.351,841.937,5.279,4.7,0.151,-0.2,9.429,89.816,87.68,2.135,6.214,96.238,134.732,-3.18,4.191,,,0.812,
Belarus,2020,122.581,401.587,121.473,32274.275,42676.64,0.143,0.786,27.455,27.164,874.89,905.964,-8.953,-9.1,0.815,0.1,9.41,87.839,95.007,-7.168,-3.029,118.6,149.721,-0.469,4.082,,,-7.546,
Belarus,2021,128.329,445,137.362,33219.745,47593.624,0.137,0.85,24.751,27.914,960.984,998.241,6.642,5.1,9.641,10.3,9.35,96.491,101.239,-4.747,-0.633,112.49,173.153,5.32,4.309,,,-7.003,
Belarus,2022,117.773,474.129,157.591,32327.55,51223.977,0.128,0.912,21.976,25.652,1111.773,1128.391,-12.182,-12.121,-7.24,-8.176,9.256,93.722,105.222,-11.5,-8.815,120.328,191.374,6.353,4.203,,,-9.878,
Belarus,2023,125.045,497.745,168.289,33019.337,54045.571,0.127,0.939,23.516,26.256,1153.07,1156.393,1.923,1.773,1.97,1.935,9.21,107.232,109.336,-2.104,3.181,135.698,207.695,4.627,4.01,,,-0.651,
Belgium,2017,430.434,1523.471,103.786,88501.775,134206.115,0.47,0.773,24.456,25.154,106.256,107.139,-0.087,-0.087,0.865,0.865,11.352,279.863,283.591,-3.728,7.517,556.061,445.05,4.208,7.108,481.367,4.83,-6.813,0.264
Belgium,2018,438.295,1603.847,105.395,89718.108,140705.754,0.462,0.766,25.416,24.502,108.753,109.588,1.354,1.354,0.713,0.713,11.399,287.839,292.711,-4.872,5.422,559.228,460.051,-5.882,5.975,483.907,4.901,-9.955,0.813
Belgium,2019,448.637,1639.436,107.236,91291.44,143113.13,0.46,0.766,25.002,25.1,109.033,109.302,-0.414,-0.414,0.056,0.056,11.456,288.859,300.339,-11.481,-1.526,564.829,478.675,0.625,5.375,490.399,4.979,-17.149,1.828
Belgium,2020,417.074,1583.664,108.851,85893.927,137441.753,0.449,0.768,24.278,25.383,108.672,109.111,-6.973,-6.973,-6.494,-6.494,11.522,279.466,329.84,-50.374,-40.934,627.213,459.827,6.905,5.575,545.848,4.981,-38.168,-4.528
Belgium,2021,455.277,1762.57,111.923,91037.727,152540.544,0.449,0.755,26.02,26.45,114.947,122.522,15.446,15.446,14.401,14.401,11.555,300.834,333.87,-33.036,-24.379,657.585,502.522,2.985,6.267,568.818,5.071,-31.354,-0.27
