Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Kyrgyz Republic,2018,181.877,610.798,319.129,33688.663,97622.441,0.026,17.181,27.72,15.666,155.474,155.157,7.912,11.761,-1.091,1.664,6.257,217.347,221.297,-3.95,2.899,366.944,569.386,-13.051,6.922,,,,
Kyrgyz Republic,2019,191.228,698.674,350.44,34510.198,109359.549,0.026,18.534,24.946,13.494,156.816,162.454,-0.832,-3.202,15.192,7.398,6.389,231.983,232.541,-0.558,5.736,368.323,654.015,-12.525,6.922,,,,
Kyrgyz Republic,2020,166.136,681.164,369.154,31413.086,104522.464,0.025,19.272,17.442,21.959,171.846,184.616,-23.273,-21.613,-24.707,-10.083,6.517,214.593,237.243,-22.65,-15.733,470.76,639.689,4.89,8.656,,,,
Kyrgyz Republic,2021,188.335,828.703,428.192,32457.966,124533.63,0.025,21.394,23.396,15.412,197.143,205.67,17.209,23.79,11.845,15.463,6.654,276.955,283.202,-6.246,0.242,496.173,782.854,-8.723,9.014,,,,
Kyrgyz Republic,2022,200.736,1024.342,499.494,33799.765,150751.702,0.025,23.322,22.695,-23.8,224.911,237.671,50.311,49.56,-1.247,-26.898,6.795,390.963,393.929,-2.966,8.621,527.156,971.035,-51.923,9.014,,,,
Kyrgyz Republic,2023,204.34,1182.811,560.052,34253.506,170651.139,0.026,25.222,23.656,3.674,247.264,255.357,15.481,16.107,121.292,194.953,6.931,401.235,423.009,-21.774,-9.526,576.202,1125.507,-22.516,9.014,,,,
Lao P.D.R.,2017,116383.509,140765.25,120.899,16637394.21,20115307.14,0.041,2789.109,,,102.966,102.787,6.225,6.561,2.582,4.979,6.998,22941.306,30697.391,-7756.086,-6683.412,80533.83,140697.75,-13.062,,,,,
Lao P.D.R.,2018,123701.914,152487.234,123.217,17417190.49,21461943.03,0.042,2775.859,,,106.265,105.648,0.358,-0.519,4.136,1.365,7.105,24774.586,31886.641,-7112.055,-5395.351,92405.081,152414.196,-15.313,,,,,
Lao P.D.R.,2019,129454.597,163157.665,125.98,17956892.12,22622915.47,0.043,2788.084,,,111.011,116.993,-5.401,-5.485,14.157,13.589,7.212,25158.943,30618.924,-5459.981,-3292.59,112805.698,163080.403,-10.824,,,,,
Lao P.D.R.,2020,128886.451,167746.481,130.09,17616576.72,22918067.42,0.044,2841.966,,,118.289,117.507,-16.742,-7.717,-4.066,1.476,7.319,21793.863,31181.457,-9387.594,-6856.224,127457.173,167668.972,-6.1,,,,,
